pmid,bgcs
28270798,BGC0001598
27983606,BGC0001600
29659660,BGC0001607
unpublished,BGC0001610
28678182,BGC0001626
29466301,BGC0001643
28207275,BGC0001658
29515228,BGC0001661
29349495,BGC0001662
28252962,BGC0001663
22627757,BGC0001668
29915235,BGC0001669
28712746,BGC0001675
29558441,BGC0001676
27746324,BGC0001690
29979567,BGC0001695
29308897,BGC0001700
28253280,BGC0001703
28253280,BGC0001704
-,BGC0001707
26910858,BGC0001711
29317534,BGC0001712
27001601,BGC0001731
,BGC0001732
29324854,BGC0001740
29062311,BGC0001748
29914489,BGC0001755
28103675,BGC0001764
29371699,BGC0001770
23301954,BGC0001783
29697266,BGC0001784
28553520,BGC0001801
28604695,BGC0001816
25930739,BGC0001830
